AAA.BA.BH,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,"BH-Nuclear magnetic resonance, not otherwise specified","Magnetic resonance imaging of brain, not elsewhere classified","Intraoperative magnetic resonance imaging brain NEC;<br/> MRI brain, NEC",,"laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance (<a href=""#http://id.who.int/ichi/entity/1801437190"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11689}"" title=""Percutaneous destruction of tissue of brain"">AAA.GA.AE</a>)"
AAA.BA.BI,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BI-Nuclear magnetic resonance with contrast medium,Magnetic resonance imaging of brain with intravenous contrast,Intraoperative magnetic resonance imaging brain with IV contrast;<br/> MRI brain with IV contrast,,"laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance (<a href=""#http://id.who.int/ichi/entity/1801437190"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11689}"" title=""Percutaneous destruction of tissue of brain"">AAA.GA.AE</a>)"
AAA.BA.BJ,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BJ-Ultrasound,Ultrasound of brain,Echoencephalography;<br/> Transcranial (intracranial) ultrasound;<br/> Ultrasound guidance for brain interventions,,
AAA.BA.BQ,AAA-Brain (Encephalon),BA-(Diagnostic) Imaging,BQ-Heat,Cerebral thermography,,,
AAA.DL.AA,AAA-Brain (Encephalon),DL-Insertion [of assistive internal device],AA-Open approach,Insertion of device into cranial cavity or tissue,Convection enhanced delivery;<br/> Insertion of catheter into cranial cavity or tissue;<br/> Placement of intracerebral catheter via burr hole,,
AAA.DL.AE,AAA-Brain (Encephalon),DL-Insertion [of assistive internal device],AE-Percutaneous,Percutaneous insertion of device into cranial cavity or tissue,,Stereotactic method,
AAA.DN.AA,AAA-Brain (Encephalon),DN-Implantation [of internal device],AA-Open approach,Implantation of cranial device,"Cranial implantation of neurostimulator pulse generator;<br/> Implantation brachytherapy applicator;<br/> Implantation of intracranial neurostimulator lead;<br/> Implantation, insertion, placement of electroencephalographic receiver;<br/> Implantation, insertion, placement of foramen ovale electrodes;<br/> Implantation, insertion, placement of intracranial brain pacemaker [neuropacemaker];<br/> Implantation, insertion, placement of intracranial depth electrodes;<br/> Implantation, insertion, placement of intracranial epidural pegs;<br/> Implantation, insertion, placement of intracranial electrostimulator;<br/> Implantation, insertion, placement of subdural grids;<br/> Implantation, insertion, placement of subdural strips;<br/> Insertion of electrodes for Deep brain stimulation<br />
",,"deep brain stimulation (<a href=""#http://id.who.int/ichi/entity/1963146653"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11700}"" title=""Stimulation of the brain using electric fields"">AAA.SC.BP</a>);<br/> replacement of subcutaneous neurostimulator pulse generator, electrodes or leads (<a href=""#http://id.who.int/ichi/entity/391469031"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11697}"" title=""Replacement of intracranial device"">AAA.KA.AA</a>)"
AAA.DN.AE,AAA-Brain (Encephalon),DN-Implantation [of internal device],AE-Percutaneous,Percutaneous Implantation of cranial device,"Percutaneous: Cranial implantation of neurostimulator pulse generator;<br/>  Implantation brachytherapy applicator;<br/>Implantation of intracranial neurostimulator lead;<br/> Implantation, insertion, placement of electroencephalographic receiver;<br/> Implantation, insertion, placement of foramen ovale electrodes;<br/> Implantation, insertion, placement of intracranial brain pacemaker [neuropacemaker];<br/> Implantation, insertion, placement of intracranial depth electrodes;<br/> Implantation, insertion, placement of intracranial epidural pegs;<br/> Implantation, insertion, placement of intracranial electrostimulator;<br/> Implantation, insertion, placement of subdural grids;<br/> Implantation, insertion, placement of subdural strips;<br/> Insertion of electrodes for Deep brain stimulation<br />
",,"deep brain stimulation (<a href=""#http://id.who.int/ichi/entity/1963146653"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11700}"" title=""Stimulation of the brain using electric fields"">AAA.SC.BP</a>);<br/> replacement of subcutaneous neurostimulator pulse generator, electrodes or leads (<a href=""#http://id.who.int/ichi/entity/391469031"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11697}"" title=""Replacement of intracranial device"">AAA.KA.AA</a>)"
AAA.FA.AA,AAA-Brain (Encephalon),FA-Incision,AA-Open approach,Incision of brain,Lobotomy and tractotomy;<br/> Other incision of brain NOS;<br/> Pallidotomy;<br/> Thalamotomy,,division of cortical adhesions (AAC FB AA)
AAA.FA.AE,AAA-Brain (Encephalon),FA-Incision,AE-Percutaneous,Percutaneous incision of brain,Percutaneous (radiofrequency) cingulotomy,,
AAA.FB.AA,AAA-Brain (Encephalon),FB-Division,AA-Open approach,Division of brain tissue,Division of cerebral tracts,Stereotactic method,
AAA.GA.AA,AAA-Brain (Encephalon),GA-Destruction,AA-Open approach,Destruction of tissue of brain,Cauterisation of choroid plexus,,
AAA.GA.AE,AAA-Brain (Encephalon),GA-Destruction,AE-Percutaneous,Percutaneous destruction of tissue of brain,"Coagulation, choroid plexus;<br/> Destruction, choroid plexus;<br/> Focused laser interstitial thermal therapy [f-LITT] under MRI guidance;<br/> MRI-guided LITT of lesion or tissue of brain",,
AAA.GA.BA,AAA-Brain (Encephalon),GA-Destruction,"BA-Radiation, not otherwise specified",Destruction of tissue of brain by radiation,,,
AAA.JB.AA,AAA-Brain (Encephalon),JB-Drainage,AA-Open approach,Intracranial drainage,Drainage of intracerebral haematoma;<br/> Intracranial drainage NOS;<br/> Marsupialisation of brain cyst,via: burr hole approach;<br/> craniotomy,
AAA.JD.AA,AAA-Brain (Encephalon),JD-Removal (of internal device or foreign body),AA-Open approach,Removal of foreign body from brain tissue or cranial cavity,"Removal of:<br/><span class=""tab-space""></span> catheter from cranial cavity or tissue;<br/><span class=""tab-space""></span> cranial neurostimulator pulse generator;<br/><span class=""tab-space""></span> electrodes for deep brain stimulation;<br/><span class=""tab-space""></span>  electroencephalographic receiver;<br/><span class=""tab-space""></span> foramen ovale electrodes;<br/><span class=""tab-space""></span> intracranial brain pacemaker [neuropacemaker];<br/><span class=""tab-space""></span> intracranial depth electrodes;<br/><span class=""tab-space""></span> intracranial electrostimulator;<br/><span class=""tab-space""></span> intracranial epidural pegs;<br/><span class=""tab-space""></span> intracranial neurostimulator lead;<br/><span class=""tab-space""></span> subdural grids;<br/><span class=""tab-space""></span> subdural strips",,"replacement of subcutaneous neurostimulator pulse generator, electrodes or leads (<a href=""#http://id.who.int/ichi/entity/391469031"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11697}"" title=""Replacement of intracranial device"">AAA.KA.AA</a>)"
AAA.JG.AA,AAA-Brain (Encephalon),JG-Debridement,AA-Open approach,Debridement of brain,,,
AAA.JI.AA,AAA-Brain (Encephalon),"JI-Excision, local",AA-Open approach,Local excision of brain,Excision of lesion of brain,,
AAA.JJ.AA,AAA-Brain (Encephalon),"JJ-Excision, partial",AA-Open approach,Partial excision of brain,Chemothalamectomy;<br/> Choroid plexectomy;<br/> Curettage of brain;<br/> Hemispherectomy;<br/> Lobectomy of brain;<br/> Pallidoansectomy,,"biopsy of brain (<a href=""#http://id.who.int/ichi/entity/861153274"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11663}"" title=""Intracranial biopsy"">AAA.AD.AA</a>), (<a href=""#http://id.who.int/ichi/entity/621599446"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11664}"" title=""Closed biopsy of brain"">AAA.AD.AE</a>);<br/> laser interstitial thermal therapy [LITT] of lesion or tissue of brain under guidance (<a href=""#http://id.who.int/ichi/entity/1801437190"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11689}"" title=""Percutaneous destruction of tissue of brain"">AAA.GA.AE</a>)"
AAA.JJ.AE,AAA-Brain (Encephalon),"JJ-Excision, partial",AE-Percutaneous,Percutaneous partial excision of brain,Transtemporal (mastoid) excision of brain tumour,,
AAA.KA.AA,AAA-Brain (Encephalon),KA-Replacement of internal device,AA-Open approach,Replacement of intracranial device,Cranial replacement of neurostimulator pulse generator;<br/> Replacement of intracranial brain pacemaker [neuropacemaker];<br/> Replacement of intracranial depth electrodes;<br/> Replacement of intracranial electroencephalographic receiver;<br/> Replacement of intracranial electrostimulator;<br/> Replacement of intracranial epidural pegs;<br/> Replacement of intracranial foramen ovale electrodes;<br/> Replacement of intracranial neurostimulator lead;<br/> Replacement of subdural grids;<br/> Replacement of subdural strips,,"implantation of subcutaneous neurostimulator pulse generator (<a href=""#http://id.who.int/ichi/entity/475973397"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11683}"" title=""Implantation of cranial device"">AAA.DN.AA</a>)"
AAA.MK.AA,AAA-Brain (Encephalon),MK-Repair,AA-Open approach,Repair of brain,"Closure, encephalocele, brain;<br/> Repair, encephalocele, brain",,
AAA.SC.BO,AAA-Brain (Encephalon),SC-Stimulation,BO-Magnetic field,Transcranial magnetic stimulation,Stimulation of the brain transcranial,,
AAA.SC.BP,AAA-Brain (Encephalon),SC-Stimulation,BP-Electric field,Stimulation of the brain using electric fields,Deep brain stimulation;<br/> ECT;<br/> Electroconvulsive therapy;<br/> Transcranial alternating current stimulation (tACS);<br/> Transcranial direct current stimulation (tDCS),,
AAA.FC.AA,AAA-Brain (Encephalon),FC-Release,AA-Open approach,Intracranial release,"Decompression:<br/><span class=""tab-space""></span> hind brain;<br/><span class=""tab-space""></span> intracranial;<br/><span class=""tab-space""></span> posterior fossa;<br/><span class=""tab-space""></span> subtemporal",duraplasty,
AAC.AD.AA,AAC-Intracranial meninges,AD-Biopsy,AA-Open approach,Open biopsy of cerebral meninges,Biopsy of cerebral meninges via osteoplastic craniotomy,burr hole approach;<br/> osteoplastic flap,
AAC.AD.AE,AAC-Intracranial meninges,AD-Biopsy,AE-Percutaneous,Percutaneous biopsy of cerebral meninges,Biopsy of cerebral meninges via neuroendoscopy,needle biopsy;<br/> percutaneous biopsy,
AAC.DN.AA,AAC-Intracranial meninges,DN-Implantation [of internal device],AA-Open approach,Implantation of device into cerebral meninges,"Implantation, pressure monitoring device, subdural space",,
AAC.FA.AA,AAC-Intracranial meninges,FA-Incision,AA-Open approach,Incision of cerebral meninges,Drainage of intracranial hygroma;<br/> Drainage of subarachnoid abscess (cerebral);<br/> Drainage of subdural empyema;<br/> Incision and drainage of cranial sinus,,
AAC.FC.AA,AAC-Intracranial meninges,FC-Release,AA-Open approach,Release of cortical adhesions,Lysis on cortical adhesions,,
AAC.JB.AA,AAC-Intracranial meninges,JB-Drainage,AA-Open approach,Drainage of cerebral meninges,"Drainage [abscess, haematoma], epidural or subdural, brain;<br/> Drainage of cranial sinus;<br/> Evacuation [abscess, haematoma], meninges of brain;<br/> Puncture, anterior fontanelle [for decompression];<br/> Puncture, cranial NOS [for decompression];<br/> Tap, subdural [for decompression]",,
AAC.JI.AA,AAC-Intracranial meninges,"JI-Excision, local",AA-Open approach,Local excision of cerebral meninges,Excision of lesion of cerebral meninges,,"biopsy of cerebral meninges (<a href=""#http://id.who.int/ichi/entity/1251753958"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11702}"" title=""Open biopsy of cerebral meninges"">AAC.AD.AA</a>), (<a href=""#http://id.who.int/ichi/entity/954940924"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11703}"" title=""Percutaneous biopsy of cerebral meninges"">AAC.AD.AE</a>)"
AAC.JJ.AA,AAC-Intracranial meninges,"JJ-Excision, partial",AA-Open approach,Partial excision of cerebral meninges,Decortication of (cerebral) meninges;<br/> Resection of (cerebral) meninges;<br/> Stripping of subdural membrane of (cerebral) meninges,,"biopsy of cerebral meninges (<a href=""#http://id.who.int/ichi/entity/1251753958"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11702}"" title=""Open biopsy of cerebral meninges"">AAC.AD.AA</a>), (<a href=""#http://id.who.int/ichi/entity/954940924"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11703}"" title=""Percutaneous biopsy of cerebral meninges"">AAC.AD.AE</a>)"
AAC.MK.AA,AAC-Intracranial meninges,MK-Repair,AA-Open approach,"Repair of cerebral meninges, not elsewhere classified",Closure of fistula of cerebrospinal fluid;<br/> Delayed repair of dura;<br/> Simple suture of dura mater of brain,,"repair of cerebral meninges with cranioplasty (<a href=""#http://id.who.int/ichi/entity/1473204794"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11711}"" title=""Repair of cerebral meninges with cranioplasty"">AAC.ML.AA</a>)"
AAC.ML.AA,AAC-Intracranial meninges,ML-Reconstruction,AA-Open approach,Repair of cerebral meninges with cranioplasty,Delayed repair of dura with cranioplasty;<br/> Dural (fat) graft;<br/> Repair of encephalocele including synchronous cranioplasty;<br/> Subdural patch,,
AAE.AD.AE,AAE-Ventricular system of brain,AD-Biopsy,AE-Percutaneous,Closed biopsy of ventricles of brain,Biopsy choroid plexus via ventriculoscopy,,
AAE.AE.AB,AAE-Ventricular system of brain,AE-Inspection,AB-Percutaneous endoscopic,Ventriculoscopy,,,
AAE.AH.AE,AAE-Ventricular system of brain,AH-Specimen collection,AE-Percutaneous,Specimen collection from ventricles,Puncture of ventricular shunt tubing;<br/> Ventriculopuncture through previously implanted catheter,,
"<span class=""text-retired"" title=""Retired ICHI code"">AAE.DM.AH</span>",AAE-Ventricular system of brain,DM-Installation of assistive product,AH-External,"<span class=""text-retired"" title=""Retired ICHI code"">Implantation of external device, ventricles of brain</span>","Implantation, external drain, ventricles of brain",,
AAE.DN.AA,AAE-Ventricular system of brain,DN-Implantation [of internal device],AA-Open approach,"Implantation of internal device, ventricles of brain","Implantation, catheter, ventricles of brain [e.g. Insertion of Ommaya reservoir, Rickham reservoir];<br/> Implantation, pressure measuring/ monitoring device, intracranial NOS;<br/> Implantation, pressure measuring/ monitoring device, ventricles of brain<br />
",,"dilation of ventricles of brain with insertion of device (<a href=""#http://id.who.int/ichi/entity/815522519"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11722}"" title=""Dilation of ventricles of brain with insertion of device"">AAE.LH.AA</a>)"
AAE.KA.AA,AAE-Ventricular system of brain,KA-Replacement of internal device,AA-Open approach,Replacement of ventricular shunt,Reinsertion of Holter valve;<br/> Replacement of ventricular catheter;<br/> Revision of ventriculoperitoneal shunt at ventricular site,,
AAE.JJ.AA,AAE-Ventricular system of brain,"JJ-Excision, partial",AA-Open approach,Partial excision of ventricles of brain,Cauterisation of choroid plexus;<br/> Choroid plexectomy,,
AAE.SN.AA,AAE-Ventricular system of brain,SN-Management of internal device,AA-Open approach,Management of internal device of ventricles of brain,Exploration of ventriculoperitoneal shunt at ventricular site;<br/> Irrigation and exploration of ventricular shunt;<br/> Re-programming of ventriculoperitoneal shunt,,
AAE.LI.AB,AAE-Ventricular system of brain,LI-Deviation,AB-Percutaneous endoscopic,Endoscopic Ventricular shunt,"Endoscopic:<br/><span class=""tab-space""></span> Anastomosis of ventricle to cisterna magna;<br/><span class=""tab-space""></span> Insertion of Holter valve;<br/><span class=""tab-space""></span> Ventricle to bone marrow shunt;<br/><span class=""tab-space""></span> Ventricle to nasopharynx shunt;<br/><span class=""tab-space""></span> Ventricle to ureter shunt;<br/><span class=""tab-space""></span> Insertion ventricular shunt to abdominal cavity and organs;<br/><span class=""tab-space""></span> Insertion ventricular shunt to circulatory system;<br/><span class=""tab-space""></span> Insertion ventricular shunt to extracranial site;<br/><span class=""tab-space""></span> Insertion ventricular shunt to structure in head and neck;<br/><span class=""tab-space""></span> Insertion ventricular shunt to thoracic cavity;<br/><span class=""tab-space""></span> Insertion ventricular shunt to urinary system;<br/><span class=""tab-space""></span>  Third ventriculostomy;<br/><span class=""tab-space""></span> Ventriculoatrial anastomosis;<br/><span class=""tab-space""></span> Ventriculocaval shunt;<br/><span class=""tab-space""></span> Ventriculocholecystostomy;<br/><span class=""tab-space""></span> Ventriculocisternal intubation;<br/><span class=""tab-space""></span> Ventriculomastoid anastomosis;<br/><span class=""tab-space""></span> Ventriculoperitoneostomy;<br/><span class=""tab-space""></span> Ventriculopleural anastomosis;<br/><span class=""tab-space""></span> Ventriculostomy",,
AAE.LI.AA,AAE-Ventricular system of brain,LI-Deviation,AA-Open approach,Ventricular shunt,Anastomosis of ventricle to cisterna magna;<br/> Insertion of Holter valve;<br/> Ventricle to bone marrow shunt;<br/> Ventricle to nasopharynx shunt;<br/> Ventricle to ureter shunt;<br/> Insertion ventricular shunt to abdominal cavity and organs;<br/> Insertion ventricular shunt to circulatory system;<br/> Insertion ventricular shunt to extracranial site;<br/> Insertion ventricular shunt to structure in head and neck;<br/> Insertion ventricular shunt to thoracic cavity;<br/> Insertion ventricular shunt to urinary system;<br/> Third ventriculostomy;<br/> Ventriculoatrial anastomosis;<br/> Ventriculocaval shunt;<br/> Ventriculocholecystostomy;<br/> Ventriculocisternal intubation;<br/> Ventriculomastoid anastomosis;<br/> Ventriculoperitoneostomy;<br/> Ventriculopleural anastomosis;<br/> Ventriculostomy,,"replacement of ventricular shunt (<a href=""#http://id.who.int/ichi/entity/2104746674"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11721}"" title=""Replacement of ventricular shunt"">AAE.KA.AA</a>)"
AAG.AH.AE,AAG-Intracranial Space,AH-Specimen collection,AE-Percutaneous,Cranial puncture,Cisternal puncture;<br/> Cisternal tap;<br/> Cranial puncture NOS;<br/> Puncture of anterior fontanel;<br/> Subdural tap (through fontanel),,
AAG.JB.AA,AAG-Intracranial Space,JB-Drainage,AA-Open approach,Drainage of intracranial space,"Craniotomy with removal of:<br/><span class=""tab-space""></span> epidural abscess;<br/><span class=""tab-space""></span> extradural haematoma;<br/><span class=""tab-space""></span> intracranial space lesion",,
AAG.JB.AE,AAG-Intracranial Space,JB-Drainage,AE-Percutaneous,Cranial aspiration,Aspiration of subarachnoid space;<br/> Aspiration of subdural space,,
AAG.JI.AA,AAG-Intracranial Space,"JI-Excision, local",AA-Open approach,Local excision of lesion of intracranial space,Excision of lesion of subarachnoid space,,
AAE.JB.AA,AAE-Ventricular system of brain,JB-Drainage,AA-Open approach,Drainage of ventricles of brain,"Drainage, CSF, ventricles of brain;<br/> Enlargement of aqueduct [to unblock occlusion for drainage];<br/> Puncture, septum pellucidum for drainage (into ventricle);<br/> Ventriculostomy",insertion of drain,
AAG.MK.AA,AAG-Intracranial Space,MK-Repair,AA-Open approach,Closure of fistula of cerebrospinal fluid,,,
AAE.JD.AA,AAE-Ventricular system of brain,JD-Removal (of internal device or foreign body),AA-Open approach,Removal of foreign body from ventricles of brain,"Removal, catheter, ventricles of brain;<br/> Removal, ventricular drain;<br/> Removal, pressure measuring/monitoring device, intracranial NOS;<br/> Removal, pressure measuring/monitoring device, ventricles of brain;<br/> Removal, shunt catheter system, ventricles of brain;<br/> Removal, stent, ventricles of brain",,"that with replacement  (<a href=""#http://id.who.int/ichi/entity/2104746674"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11721}"" title=""Replacement of ventricular shunt"">AAE.KA.AA</a>)"
AAN.AD.AA,AAN-Cranial nerve,AD-Biopsy,AA-Open approach,Open biopsy of cranial nerve or ganglion,,,
AAN.AD.AE,AAN-Cranial nerve,AD-Biopsy,AE-Percutaneous,Closed biopsy of cranial nerve or ganglion,,,
AAE.JD.AH,AAE-Ventricular system of brain,JD-Removal (of internal device or foreign body),AH-External,Removal of device (external) from ventricles of brain,Removal of drain (external) from ventricles of brain,,"that with replacement  (<a href=""#http://id.who.int/ichi/entity/2104746674"" class=""link-open-node"" data-tsel=""Section"" data-node-id=""{#}-{1}-{1}-{AA}-{11721}"" title=""Replacement of ventricular shunt"">AAE.KA.AA</a>)"
AAE.LH.AA,AAE-Ventricular system of brain,LH-Dilatation with insertion of device,AA-Open approach,Dilation of ventricles of brain with insertion of device,"Insertion, stent, aqueduct of Sylvius [for dilation and drainage]",,
AAN.DN.AA,AAN-Cranial nerve,DN-Implantation [of internal device],AA-Open approach,Implantation of internal device to cranial nerves,"Implantation, neurostimulator device:<br/><span class=""tab-space""></span> cranial nerves [intracranial];<br/><span class=""tab-space""></span> trigeminal nerve [intracranial];<br/><span class=""tab-space""></span> vagus nerve [intracranial]",,
AAN.MK.AA,AAN-Cranial nerve,MK-Repair,AA-Open approach,Repair of cranial nerve,Neurorrhaphy of cranial nerve [intracranial];<br/> Repair of laceration of cranial nerve [intracranial];<br/> Suture of cranial nerves,,
AAN.JJ.AA,AAN-Cranial nerve,"JJ-Excision, partial",AA-Open approach,Other partial excision of cranial nerves,Excision of acoustic neuroma that by craniotomy;<br/> Cranial nerve ganglionectomy NOS;<br/> Gasserian ganglionectomy,,
AAN.FA.AA,AAN-Cranial nerve,FA-Incision,AA-Open approach,Incision of cranial nerves,"Fenestration, optic nerve sheath",,
AAN.FB.AA,AAN-Cranial nerve,FB-Division,AA-Open approach,Division of cranial nerves,"Division of trigeminal nerve;<br/> Retrogasserian neurotomy;<br/> Rhizotomy, trigeminal posterior",,
AAN.LB.AA,AAN-Cranial nerve,LB-Reattachment,AA-Open approach,Anastomosis of cranial nerves,Accessory-facial anastomosis;<br/> Accessory-hypoglossal anastomosis;<br/> Hypoglossal-facial anastomosis;<br/> Other anastomosis of cranial nerve,,
AAN.LJ.AA,AAN-Cranial nerve,LJ-Transfer,AA-Open approach,Transposition of cranial nerves,,,
AAN.GA.AZ,AAN-Cranial nerve,GA-Destruction,AZ-Unspecified approach,Destruction of cranial nerves,"Avulsion, cranial nerves [intracranial];<br/> Avulsion, infraorbital [or supraorbital] nerve;<br/> Avulsion, sub occipital nerve;<br/> Crushing of cranial nerves;<br/> Radiation, cranial nerves;<br/> Rhizolysis, cranial nerve [intracranial];<br/> Rhizolysis, trigeminal [using craniectomy technique]",,
AAN.ML.AA,AAN-Cranial nerve,ML-Reconstruction,AA-Open approach,Cranial nerve graft,,,
AAN.SC.AZ,AAN-Cranial nerve,SC-Stimulation,AZ-Unspecified approach,Stimulation of cranial nerves,,,
ABA.AD.AA,ABA-Spinal cord,AD-Biopsy,AA-Open approach,Biopsy of spinal cord,,,
